title,link,image,source,category
Apple removes ICEBlock and similar tracking apps from the App Store,https://techcrunch.com/2025/10/03/apple-removes-iceblock-and-similar-tracking-apps-from-the-app-store/,https://techcrunch.com/wp-content/uploads/2025/10/GettyImages-2237527991.jpg?w=563,TechCrunch,technology
How developers are using Apple’s local AI models with iOS 26,https://techcrunch.com/2025/10/03/how-developers-are-using-apples-local-ai-models-with-ios-26/,https://techcrunch.com/wp-content/uploads/2024/09/apple-iphone-16-apple-intelligence.jpg?w=668,TechCrunch,technology
"After nine years of grinding, Replit finally found its market. Can it keep it?",https://techcrunch.com/2025/10/02/after-nine-years-of-grinding-replit-finally-found-its-market-can-it-keep-it/,https://techcrunch.com/wp-content/uploads/2025/10/Screenshot-2025-10-02-at-9.34.51PM.png?w=668,TechCrunch,technology
Amazon to resume drone delivery following crash in Arizona,https://techcrunch.com/2025/10/02/amazon-to-resume-drone-delivery-following-crash-in-arizona/,https://techcrunch.com/wp-content/uploads/2025/01/download-5.jpeg?w=562,TechCrunch,technology
Department of Energy cancels $7.5B of clean energy projects in mostly blue states,https://techcrunch.com/2025/10/02/department-of-energy-cancels-7-5b-of-clean-energy-projects-in-mostly-blue-states/,https://techcrunch.com/wp-content/uploads/2025/10/GettyImages-2231543622.jpeg?w=563,TechCrunch,technology
Anthropic hires new CTO with focus on AI infrastructure,https://techcrunch.com/2025/10/02/anthropic-hires-new-cto-with-focus-on-ai-infrastructure/,https://techcrunch.com/wp-content/uploads/2025/08/Claude-Chrome-Ext_email-hero-hero.png?w=662,TechCrunch,technology
YouTubers aren’t relying on ad revenue anymore — here’s how some are diversifying,https://techcrunch.com/2025/10/02/youtubers-arent-relying-on-ad-revenue-anymore-heres-how-some-are-diversifying/,https://techcrunch.com/wp-content/uploads/2023/06/money-grab-bryce.jpg?w=668,TechCrunch,technology
Google’s Jules enters developers’ toolchains as AI coding agent competition heats up,https://techcrunch.com/2025/10/02/googles-jules-enters-developers-toolchains-as-ai-coding-agent-competition-heats-up/,https://techcrunch.com/wp-content/uploads/2025/10/google-jules.jpg?w=563,TechCrunch,technology
Threads takes on X with new communities feature,https://techcrunch.com/2025/10/02/threads-takes-on-x-with-new-communities-feature/,https://techcrunch.com/wp-content/uploads/2024/05/Instagram-Threads-GettyImages-1795093602.jpeg?w=618,TechCrunch,technology
How startups could be affected by a prolonged government shutdown,https://techcrunch.com/2025/10/02/how-startups-could-be-affected-by-a-prolonged-government-shutdown/,https://techcrunch.com/wp-content/uploads/2025/10/GettyImages-1474827705.jpg?w=625,TechCrunch,technology
