title,link,image,source,category,datetime
"Supabase nabs $5B valuation, four months after hitting $2B",https://techcrunch.com/2025/10/03/supabase-nabs-5b-valuation-four-months-after-hitting-2b/,https://techcrunch.com/wp-content/uploads/2025/04/Supabase-Ant-Wilson-Paul-Copplestone.jpg?w=500,TechCrunch,technology,"3 Oct 2025, 11:14"
OpenAI’s Sora soars to No. 1 on Apple’s US App Store,https://techcrunch.com/2025/10/03/openais-sora-soars-to-no-1-on-the-u-s-app-store/,https://techcrunch.com/wp-content/uploads/2025/10/sora-app-GettyImages2238161095.jpg?w=564,TechCrunch,technology,"3 Oct 2025, 09:48"
Leaked doc reveals the chaotic politics behind Trump Energy Department cuts,https://techcrunch.com/2025/10/03/leaked-doc-reveals-the-chaotic-politics-behind-trump-energy-department-cuts/,https://techcrunch.com/wp-content/uploads/2025/03/GettyImages-2205749899.jpeg?w=563,TechCrunch,technology,"3 Oct 2025, 08:04"
"Space defense, gravity, and connectivity with Bridgit Mendler, Even Rogers, and Max Haot at TechCrunch Disrupt 2025",https://techcrunch.com/2025/10/03/space-is-open-for-business-with-even-rogers-and-max-haot-at-techcrunch-disrupt-2025/,https://techcrunch.com/wp-content/uploads/2025/10/Disrupt-2024-Bridgit-Mendler.jpg?w=563,TechCrunch,technology,"3 Oct 2025, 08:00"
The clock is ticking: Savings of up to 20% on group passes end tonight for TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/03/the-clock-is-ticking-savings-of-up-to-20-on-group-passes-end-today-for-techcrunch-disrupt-2025/,https://techcrunch.com/wp-content/uploads/2018/10/27055664959_5fbe947d9b_o.jpg?w=563,TechCrunch,technology,"3 Oct 2025, 07:00"
Flai is the latest startup bringing AI to car dealerships,https://techcrunch.com/2025/10/03/flai-is-the-latest-startup-bringing-ai-to-car-dealerships/,https://techcrunch.com/wp-content/uploads/2025/10/7b41e0c1-e78e-4639-b3d2-b4cc5998e8bf.jpeg?w=362,TechCrunch,technology,"3 Oct 2025, 07:00"
Hacking group claims theft of 1 billion records from Salesforce customer databases,https://techcrunch.com/2025/10/03/hacking-group-claims-theft-of-1-billion-records-from-salesforce-customer-databases/,https://techcrunch.com/wp-content/uploads/2022/11/Salesforce_logo-e1672835031758.jpg?w=668,TechCrunch,technology,"3 Oct 2025, 06:17"
New deep tech fund Wave Function Ventures raises $15 million,https://techcrunch.com/2025/10/03/new-deep-tech-fund-wave-function-ventures-raises-15-million/,https://techcrunch.com/wp-content/uploads/2025/10/wave-function-ventures.jpg?w=386,TechCrunch,technology,"3 Oct 2025, 06:00"
A new search engine raises $1.1M to let obsessive fans dive down internet rabbit holes,https://techcrunch.com/2025/10/03/a-new-search-engine-raises-1-1m-to-let-obsessive-fans-dive-down-internet-rabbit-holes/,https://techcrunch.com/wp-content/uploads/2025/10/Lore.png?w=668,TechCrunch,technology,"3 Oct 2025, 06:00"
Apple removes ICEBlock and similar tracking apps from the App Store,https://techcrunch.com/2025/10/03/apple-removes-iceblock-and-similar-tracking-apps-from-the-app-store/,https://techcrunch.com/wp-content/uploads/2025/10/GettyImages-2237527991.jpg?w=563,TechCrunch,technology,"3 Oct 2025, 05:53"
